Exercise,Primary,Secondary
Leg Press,Quads,
Lat Pull Down,Lats,
Peck Deck,Chest,
Pendlay Row,Back,
Seated  Leg Curl,Hamstrings,
Adductors,Adductors,
Abductors,Abductors,
Calves Raises,Calves,
Seated Calves Raises,Calves,
Barbell RDL,Hamstrings,
Lateral Raises,Side Delts,
Chest Press,Chest,
Pull-ups    LatsLeg Extensions,Quads,
Pulley,Back,
Hammer Curl,Biceps,
Triceps Extension,Triceps,
Rope Triceps Extension,Triceps,
Standing Alternating Biceps Curl,Biceps,
Rope Biceps Curl,Biceps,
Biceps Curl,Biceps,
Dips,Chest,
T-Bar Row,Back,
Dumbbell OHP,Front Delts,
Face Pull,Rear Delt,
Incline Barbell Bench Press,Chest,
Squat,Quads,
Hip Thrust,Glutes,
Trap DB Shrug,Traps,
Low Row,Back,
Rope Crosses,Chest,
DB Chest Press,Chest,
